,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2021-11-01,65308.0859375,63373.484375,62243.43359375,61692.48828125,61801.59765625,62542.06640625,64281.14453125,66877.0234375,68546.7109375,70109.5234375,71071.578125,70963.984375,70574.09375,70136.640625,69590.71875,69465.375,69493.34375,70381.1875,71891.671875,73370.09375,74557.59375,74431.4921875,72265.078125,69119.2578125
2021-11-02,69520.6875,67737.453125,66604.3671875,66239.375,66438.3671875,68203.515625,72442.265625,78326.6484375,80889.2109375,81183.4609375,80984.9140625,80726.4140625,80126.5,79341.7265625,79060.828125,78096.1484375,77701.2734375,78595.203125,80253.984375,81341.078125,82170.296875,81224.1640625,78361.7109375,74876.875
2021-11-03,70921.7734375,69105.0859375,68007.6015625,67558.9765625,67743.59375,69202.0390625,73189.2265625,78481.703125,80869.515625,81038.3203125,80612.859375,79968.5390625,78957.46875,77882.28125,77152.625,76027.484375,75567.7890625,76496.5546875,78075.0,79329.8984375,80190.4765625,79561.40625,76894.203125,73696.4921875
2021-11-04,70926.2578125,69040.46875,67914.140625,67342.2734375,67474.109375,68910.9921875,73090.296875,78593.4375,81170.0625,81258.625,80758.1640625,80209.875,79295.6015625,78281.03125,77640.1640625,76491.609375,75916.1328125,76713.7890625,77987.921875,79114.2578125,80112.765625,79505.875,76802.0859375,73577.5078125
2021-11-05,70861.2890625,68910.8984375,67732.2890625,67115.4296875,67207.2109375,68603.703125,72520.2421875,77745.765625,80204.546875,80338.6640625,79959.140625,79397.671875,78498.59375,77549.28125,76862.359375,75738.0078125,75219.2734375,75983.375,77154.2109375,78224.625,79151.234375,78563.6796875,75844.9140625,72618.7890625
2021-11-06,68824.2890625,66628.4375,65295.08203125,64374.50390625,64220.25,64759.265625,66506.53125,68668.2578125,70396.90625,71896.390625,72671.1484375,72361.1640625,71757.390625,71077.4609375,70266.9609375,69845.375,69599.7890625,70384.78125,71357.5546875,72458.4765625,73690.5390625,73655.46875,71647.2421875,68642.421875
2021-11-07,65112.13671875,62920.84765625,61626.37890625,60826.02734375,60756.99609375,61279.9375,62279.91015625,64015.0625,65478.12109375,67465.4375,68822.71875,68906.15625,68632.546875,68521.7890625,68036.6484375,68165.9921875,68259.984375,69024.578125,70119.03125,71291.2734375,72211.4296875,72474.2265625,70486.984375,67207.4609375
2021-11-08,64508.9375,62460.59375,61420.53125,60755.01953125,61016.67578125,62290.75390625,64956.046875,68966.8046875,70982.6484375,72208.140625,73209.171875,73360.4375,73101.5,73154.671875,72964.9375,72901.15625,72803.6953125,73274.9375,74159.96875,75208.09375,75910.671875,75798.7578125,73224.7421875,69442.9296875
2021-11-09,67764.3828125,65583.3359375,64204.03125,63524.7578125,63544.37890625,64970.6015625,68332.5078125,73072.4296875,75354.21875,76159.34375,76728.5390625,76824.265625,76504.6875,76197.8203125,75973.28125,75358.53125,75195.6015625,75647.03125,76537.234375,77301.734375,77887.421875,77107.9375,74333.4609375,70733.0859375
2021-11-10,68412.96875,66086.3515625,64823.3671875,64109.3046875,64147.0546875,65737.359375,69107.7265625,73777.6328125,75926.4375,76749.3828125,77436.21875,77395.6015625,76941.578125,76772.546875,76520.96875,76169.25,75915.7421875,76670.96875,77705.7734375,78692.25,78745.7109375,77625.7890625,74910.578125,71075.8515625
2021-11-11,67918.921875,65816.2109375,64313.390625,63631.99609375,63506.26171875,64627.41796875,67508.140625,71553.4765625,73881.953125,74948.359375,75605.1484375,75824.03125,75738.6875,75375.7421875,75190.3203125,74460.8828125,74332.6484375,74952.90625,75906.421875,76549.4609375,77372.671875,76704.03125,74109.3828125,70741.390625
2021-11-12,67976.703125,66170.09375,64986.88671875,64616.02734375,64699.8984375,66151.90625,69497.546875,74311.9453125,76836.703125,77545.296875,77635.71875,77500.1484375,77209.703125,76395.2890625,76205.90625,75224.625,74950.71875,75971.625,77614.578125,78843.078125,80075.2109375,79054.7421875,76316.8359375,73168.921875
2021-11-13,69902.609375,68133.6875,67071.9296875,66685.7265625,66754.375,68114.2109375,71160.5,75529.03125,77844.703125,78516.71875,78421.1015625,77918.453125,77104.125,76035.4375,75441.203125,74319.5625,74080.4765625,75329.4375,77372.2734375,78795.6484375,79839.6328125,79016.296875,76515.125,73599.234375
2021-11-14,69508.2109375,67851.6953125,66877.4453125,66642.125,66862.1171875,68387.578125,71556.8046875,76198.4609375,78374.921875,79105.265625,79121.8359375,78612.0390625,77679.25,76750.578125,76141.53125,75229.8359375,75051.9296875,76353.359375,78771.4375,80297.0390625,80992.046875,80188.5234375,77636.2265625,74552.4765625
2021-11-15,69100.3046875,67293.859375,66306.5546875,65904.8828125,66225.9296875,67736.7421875,71978.453125,77557.3359375,79948.5546875,79972.9296875,79465.203125,78759.9140625,77778.71875,76691.703125,75993.46875,74975.265625,74314.1484375,75076.3359375,76362.359375,77815.640625,78951.2421875,78471.8046875,75718.2734375,72449.1328125
2021-11-16,72255.7734375,69817.2890625,68635.0,67896.71875,67691.078125,68874.5625,71983.1875,75713.078125,77509.65625,78506.9296875,78730.5546875,78152.078125,76843.328125,76423.2265625,75808.0078125,75565.40625,74892.9296875,76195.2265625,77309.84375,78692.421875,78207.453125,77215.2421875,74937.578125,71167.09375
2021-11-17,69245.9765625,66968.0859375,65360.8125,64713.74609375,64603.5390625,65776.0859375,68588.359375,72712.78125,74913.703125,76093.546875,76925.21875,77174.09375,77257.3359375,76904.734375,76709.5234375,76052.890625,76174.53125,77012.1796875,78389.0,79009.046875,79389.0390625,78204.828125,75560.6015625,72280.9375
2021-11-18,69599.46875,67682.5,66432.046875,66042.8828125,66200.6640625,67674.53125,70635.578125,75223.453125,77397.4765625,78517.46875,79211.796875,79262.2890625,79064.34375,78603.9296875,78415.828125,77778.328125,77908.1171875,79170.2109375,81562.875,82589.546875,82932.4140625,81674.0625,78992.671875,75758.859375
2021-11-19,73320.4765625,71384.8984375,70250.9375,69891.25,70184.046875,71636.34375,75014.625,79837.7734375,81558.875,82103.875,82034.6015625,81203.0,80271.34375,79175.5859375,78357.890625,77744.96875,77635.390625,79230.6484375,81843.2578125,83245.421875,83254.1875,81965.3515625,79397.6328125,76002.5390625
2021-11-20,73357.09375,71338.5234375,70083.2734375,69531.8984375,69621.4140625,70763.25,73776.375,77883.6015625,79713.09375,80202.234375,80017.2421875,79082.9140625,77945.1484375,76796.0078125,75750.125,74844.15625,74582.15625,75884.4375,77898.515625,79172.75,79442.2578125,78593.9453125,76236.4296875,73210.3828125
2021-11-21,68693.9765625,66692.1796875,65497.37109375,64871.78515625,64686.9296875,65362.1640625,66965.5390625,69111.125,71122.4375,72981.0078125,73909.203125,73810.265625,73325.1484375,72617.1796875,71892.5390625,71373.4375,71539.1953125,72719.90625,74712.3671875,76134.1015625,77252.421875,76870.2890625,74837.6640625,72232.5
2021-11-22,69594.0546875,68011.765625,67077.5859375,67077.40625,67328.6953125,68978.921875,72178.6015625,77048.5,79305.2734375,80250.953125,80503.34375,80106.203125,79707.765625,78752.765625,78443.8671875,77729.8671875,77835.421875,79590.65625,82613.5546875,84336.6015625,84884.5625,83501.8125,80737.8125,77591.1171875
2021-11-23,74768.875,72813.7890625,71559.2890625,71050.71875,70985.046875,72262.8125,75431.875,79844.6875,81672.359375,82251.3671875,81594.3359375,80605.3515625,79567.7421875,78134.1015625,77387.40625,76607.1328125,76278.140625,78146.2421875,80602.4453125,82132.7578125,82073.75,80740.296875,78145.03125,74863.8671875
2021-11-24,73197.5859375,70915.40625,69503.21875,68843.234375,68689.5546875,69778.796875,72329.1796875,76093.7421875,77817.9140625,78759.046875,78795.8828125,78218.015625,77368.859375,76426.0703125,75771.78125,75106.5703125,74901.578125,76412.9140625,78351.3984375,79536.2109375,79445.03125,78264.1875,75825.328125,72624.53125
2021-11-25,70503.234375,68592.1953125,67314.0,66857.890625,66633.2734375,67775.078125,70065.609375,73556.6875,76166.484375,77670.1171875,78371.390625,78450.75,78485.15625,77708.90625,77382.75,76609.890625,76765.28125,78270.2734375,80753.59375,81883.0078125,82537.671875,81473.3671875,79203.109375,76435.0078125
2021-11-26,68517.4140625,66512.2734375,65744.1015625,65240.7421875,65627.2578125,66269.3515625,67424.15625,69441.3671875,70760.03125,72077.75,72899.375,71972.3359375,70656.828125,69675.5625,68651.78125,68388.046875,68218.109375,69907.21875,72469.3828125,74586.390625,74887.15625,74721.671875,72730.9921875,70087.453125
2021-11-27,71343.2421875,69557.2890625,68522.140625,68104.046875,68473.34375,69950.109375,74179.59375,79692.890625,82016.21875,82136.078125,81615.6875,80871.453125,79642.1015625,78578.453125,77690.21875,76598.484375,76090.5625,76985.078125,78740.7734375,80038.75,80614.5234375,80063.3046875,77492.3203125,74302.0859375
2021-11-28,69706.640625,67910.40625,66946.1953125,66587.4609375,66714.078125,67928.8828125,70323.375,74046.7734375,76129.8046875,77080.140625,77248.828125,76663.2734375,75765.5703125,74739.6015625,74000.6875,73096.578125,72995.7578125,74521.3671875,77038.3515625,78697.2578125,79378.8515625,78607.625,76242.4765625,73499.703125
2021-11-29,71354.375,69509.6328125,68526.578125,68372.640625,68898.6953125,70675.1875,74691.046875,80278.109375,81842.328125,82041.8515625,81867.4375,80863.15625,79615.09375,78585.234375,77676.6875,77211.40625,77027.8125,78349.21875,80716.8515625,82377.3671875,82279.28125,81159.0078125,78361.84375,74573.515625
2021-11-30,73842.4453125,71756.671875,70494.53125,69907.5625,69996.9765625,71245.4296875,74251.3359375,78537.3203125,80354.7578125,80951.921875,80868.453125,80068.6875,79177.609375,78128.53125,77216.4765625,76429.53125,76321.9921875,77799.4453125,80101.5546875,81268.3828125,81279.671875,80052.7890625,77638.3515625,74505.9609375
